title,author,tags,link,source
Top 10 Codepens of the Week #11,Holly Lloyd,codepen,https://scotch.io/bar-talk/top-10-codepens-of-the-week-11,Scotch
Top 10 Codepens of the Week #10,Holly Lloyd,codepen,https://scotch.io/bar-talk/top-10-codepens-of-the-week-10,Scotch
The Best Sublime Text 3 Themes of 2014,Chris Sevilleja,sublime text,https://scotch.io/bar-talk/the-best-sublime-text-3-themes-of-2014,Scotch
Top 10 Codepens of the Week #9,Holly Lloyd,"codepen,hidden",https://scotch.io/bar-talk/top-10-codepens-of-the-week-9,Scotch
Introducing Scotch Box – A Vagrant LAMP Stack That Just Works,Nicholas Cerminara,"starter,vagrant",https://scotch.io/bar-talk/introducing-scotch-box-a-vagrant-lamp-stack-that-just-works,Scotch
Top 10 Codepens of the Week #8,Holly Lloyd,"codepen,hidden",https://scotch.io/bar-talk/top-10-codepens-of-the-week-8,Scotch
Bootstrap 3 Tips and Tricks You Still Might Not Know,Nicholas Cerminara,"bootstrap,css",https://scotch.io/bar-talk/bootstrap-3-tips-and-tricks-you-still-might-not-know,Scotch
Top 10 Codepens of the Week #7,Holly Lloyd,codepen,https://scotch.io/bar-talk/top-10-codepens-of-the-week-7,Scotch
Top 10 Codepens of the Week #6,Holly Lloyd,codepen,https://scotch.io/bar-talk/top-10-codepens-of-the-week-6,Scotch
Top 10 CodePens of the Week #5,Holly Lloyd,codepen,https://scotch.io/bar-talk/top-10-codepens-of-the-week-5,Scotch
scotchPanels.js – Dead simple Off Canvas jQuery Plugin,Nicholas Cerminara,"css,javascript,jquery",https://scotch.io/bar-talk/scotchpanels-js-dead-simple-off-canvas-jquery-plugin,Scotch
Top 10 CodePens of the Week #4,Chris Sevilleja,codepen,https://scotch.io/bar-talk/top-10-codepens-of-the-week-4,Scotch
Top 10 CodePens of the Week #3,Chris Sevilleja,codepen,https://scotch.io/bar-talk/top-10-codepens-of-the-week-3,Scotch
Announcing the Winners of our T-Shirt Giveaway,Chris Sevilleja,,https://scotch.io/bar-talk/announcing-the-winners-of-our-t-shirt-giveaway,Scotch
Top 10 CodePens of the Week #2,Nicholas Cerminara,codepen,https://scotch.io/bar-talk/top-10-codepens-of-the-week-2,Scotch
Shop Launch and T-Shirt Giveaway!,Chris Sevilleja,,https://scotch.io/bar-talk/shop-launch-and-t-shirt-giveaway,Scotch
The Weekly Best #1,Holly Lloyd,,https://scotch.io/bar-talk/weekly-resource-roundup-1,Scotch
The Future of ExpressJS and Alternatives,Ado Kukic,"expressJS,MEAN",https://scotch.io/bar-talk/the-future-of-expressjs-and-alternatives,Scotch
Top 10 CodePens of the Week,Chris Sevilleja,codepen,https://scotch.io/bar-talk/top-10-codepens-of-the-week,Scotch
Hiding Fields When Querying Laravel Eloquent Models,Chris Sevilleja,"eloquent,laravel",https://scotch.io/bar-talk/hiding-fields-when-querying-laravel-eloquent-models,Scotch
Bootstrap 3 Tips and Tricks You Might Not Know,Nicholas Cerminara,"bootstrap,css",https://scotch.io/bar-talk/bootstrap-3-tips-and-tricks-you-might-not-know,Scotch
Designing a RESTful Web API,Mathias Hansen,"API,REST",https://scotch.io/bar-talk/designing-a-restful-web-api,Scotch
The Complete Visual Guide to Sublime Text 3: Plugins Part 2,Nicholas Cerminara,"editors,plugins,sublime text",https://scotch.io/bar-talk/the-complete-visual-guide-to-sublime-text-3-plugins-part-2,Scotch
The Complete Visual Guide to Sublime Text 3: Plugins Part 1,Nicholas Cerminara,"editors,plugins,sublime text",https://scotch.io/bar-talk/the-complete-visual-guide-to-sublime-text-3-plugins-part-1,Scotch
Redesigning Our Site: Goals and Improvements,Chris Sevilleja,ui/ux,https://scotch.io/bar-talk/redesigning-our-site-goals-and-improvements,Scotch
"The Complete Visual Guide to Sublime Text 3: Themes, Color Schemes, and Cool Features",Nicholas Cerminara,"editors,starter,sublime text",https://scotch.io/bar-talk/the-complete-visual-guide-to-sublime-text-3-themes-color-schemes-and-cool-features,Scotch
ExpressJS 4.0: New Features and Upgrading from 3.0,Chris Sevilleja,"angularJS,MEAN,node.js",https://scotch.io/bar-talk/expressjs-4-0-new-features-and-upgrading-from-3-0,Scotch
The Complete Visual Guide to Sublime Text 3: Getting Started and Keyboard Shortcuts,Nicholas Cerminara,"editors,keyboard shortcuts,starter,sublime text",https://scotch.io/bar-talk/the-complete-visual-guide-to-sublime-text-3-getting-started-and-keyboard-shortcuts,Scotch
Hacking Kickstarter: 6.9 Tips to a Successful Crowdfunding,Ken Lamug,,https://scotch.io/bar-talk/hacking-kickstarter-6-9-tips-to-a-successful-crowdfunding,Scotch
Hands-on with GitHub’s New Text Editor Atom,Nicholas Cerminara,editors,https://scotch.io/bar-talk/hands-on-with-githubs-new-text-editor-atom,Scotch
"Chrome Tips: Keyboard Shortcuts, Canary Build, Settings, Commands, and Address Bar Tricks",Nicholas Cerminara,"chrome,keyboard shortcuts",https://scotch.io/bar-talk/chrome-tips-keyboard-shortcuts-canary-build-settings-commands-and-address-bar-tricks,Scotch
Leveraging Multiple Chrome Users for Ultra-Fast Session Swapping,Nicholas Cerminara,chrome,https://scotch.io/bar-talk/leveraging-multiple-chrome-users-for-ultra-fast-session-swapping,Scotch
"Best of Sublime Text 3: Features, Plugins, and Settings",Chris Sevilleja,"editors,sublime text",https://scotch.io/bar-talk/best-of-sublime-text-3-features-plugins-and-settings,Scotch
Improving your fixed-width website with one line of CSS and a list of some popular websites that could be using it now,Nicholas Cerminara,css,https://scotch.io/bar-talk/improving-your-fixed-width-website-with-one-line-of-css-and-a-list-of-some-popular-websites-that-could-be-using-it-now,Scotch
Emoji Icons in GitHub Commit Messages,Nicholas Cerminara,git,https://scotch.io/bar-talk/emoji-icons-in-github-commit-messages,Scotch
Git Cheat Sheet,Chris Sevilleja,"cheat sheet,git",https://scotch.io/bar-talk/git-cheat-sheet,Scotch
CSS Selectors You Might Not Know About,Chris Sevilleja,css,https://scotch.io/bar-talk/css-selectors-you-might-not-know-about,Scotch
Star Wars: Attack of the DOM,Nicholas Cerminara,css,https://scotch.io/bar-talk/star-wars-attack-of-the-dom,Scotch
Announcing GitHub API Library for Codeigniter,Nicholas Cerminara,,https://scotch.io/bar-talk/announcing-github-api-library-for-codeigniter,Scotch
Creating Our First Windows 8 App,Chris Sevilleja,,https://scotch.io/bar-talk/creating-our-first-windows-8-app,Scotch
Announcing the Open Sourcing of my DNA on Github,Nicholas Cerminara,,https://scotch.io/bar-talk/announcing-the-open-sourcing-of-my-dna-on-github,Scotch
Calculated Color Scheme Generator,Chris Sevilleja,,https://scotch.io/bar-talk/calculated-color-scheme-generator,Scotch
Pure CSS3 Star Wars Lightsaber Checkboxes,Nicholas Cerminara,css,https://scotch.io/bar-talk/pure-css3-star-wars-lightsaber-checkboxes,Scotch
College Ambassador: Hack ED 2.0 Entry,Nicholas Cerminara,,https://scotch.io/bar-talk/college-ambassador-hack-ed-2-0-entry,Scotch
Sublime Text Keyboard Shortcuts,Chris Sevilleja,"cheat sheet,editors,sublime text",https://scotch.io/bar-talk/sublime-text-keyboard-shortcuts,Scotch
SASS / LESS CSS Mixins,Chris Sevilleja,"css,LESS,sass",https://scotch.io/bar-talk/sass-less-css-mixins,Scotch
